Entity,Code,Year,9th,8th,7th,6th,4th,3rd,2nd,5th,1st
Ireland,IRL,1994,133.2484669,134.5722587,135.4528195,136.3428313,128.6412144,129.1483998,131.952664,132.6866793,129.6723279
Ireland,IRL,1995,136.9281713,136.7156678,137.7824142,138.4105849,133.136557,133.9033536,134.6647406,137.7628267,131.1459797
Ireland,IRL,1996,141.63312,144.1171561,148.99221,148.4414958,142.693383,144.6211483,142.5639967,146.8567125,138.2531321
Ireland,IRL,2000,173.4111504,178.0332572,187.105695,188.7456164,190.6240892,193.4448792,181.1632209,192.9566272,163.7012008
Ireland,IRL,2004,201.6047852,206.2876382,214.1290053,219.6176661,214.4070004,212.8822385,209.348261,218.5029757,199.32506
Ireland,IRL,2007,219.0767421,224.7091858,230.4875887,234.4293247,241.4715261,244.9552356,245.7811914,241.9422796,240.5697623
Ireland,IRL,2010,189.4456214,194.2070987,199.6459057,203.907444,205.3888558,211.9057212,217.5580612,205.7569704,212.5702898
Israel,ISR,1986,100,100,100,100,100,100,100,100,100
Israel,ISR,1992,118.0539496,117.7496355,118.1077725,119.2151215,118.8586287,119.5814245,119.8966507,117.4770177,123.3478843
Israel,ISR,1997,122.4442722,122.3281568,121.1317643,121.2071605,115.9282536,114.9999385,111.9792089,118.9113729,108.3820583
Israel,ISR,2001,140.038042,137.0833438,136.7914887,137.1307484,129.5737359,125.4448461,119.6681544,132.1820463,120.338006
Israel,ISR,2005,143.801446,139.7802441,136.6436678,134.0382442,125.442196,116.8427438,109.1503456,130.0292911,102.8849272
Israel,ISR,2007,155.3686789,151.6060405,148.5170606,147.7635572,134.9634625,125.8365415,119.4872972,140.8153255,113.0774681
Israel,ISR,2010,164.7270775,156.7158755,154.382087,152.7822093,136.4719761,125.4088979,118.7868764,145.8910392,112.9437616
Italy,ITA,1986,100,100,100,100,100,100,100,100,100
Italy,ITA,1987,115.0971993,111.6923575,108.6728445,105.3476834,105.6208936,104.7224376,102.4637094,105.7668062,102.4926302
Italy,ITA,1989,118.7069806,119.25642,120.155169,117.6668939,121.7180111,118.3269004,118.1870537,118.9336949,122.2736051
